31868	𝕄𝔼𝕊 𝔸𝕄𝕀𝕋𝕀É𝕊 𝔸𝕌 ℙ𝔼ℝ𝔼 É𝕋𝔼ℝℕ𝔼𝕃
65333	𝕀𝕃 𝕍𝔸 𝕋𝔼 𝔽𝔸𝕀ℝ𝔼 ℙ𝔸𝕊𝕊𝔼ℝ 𝕃𝔼 𝔾𝕆𝕌𝕋 𝔻𝕌 ℙ𝔸𝕀ℕ
5357	𝔸𝕃𝕃𝕆ℕ𝕊 ! ℂ𝔼 𝕊𝔼ℝ𝔸 𝔻ℝ𝕆𝕃𝔼
21308	ℙ𝔸𝕊 𝔻𝔼 ℙ𝔼𝕃𝕆𝕋𝔸𝔾𝔼 𝔸𝕍𝔸ℕ𝕋 𝕃𝔼 𝕄𝔸ℝ𝕀𝔸𝔾𝔼
64581	𝕀𝕃 ℕ'𝔸 ℚ𝕌𝔼 𝕊𝕆ℕ 𝕃𝕌ℂ𝕀𝔼ℕ 𝔻𝔸ℕ𝕊 𝕃'𝕆𝔼𝕀𝕃
61313	𝕃𝔼 ℂ𝕆ℝ𝔹𝔼𝔸𝕌, ℚ𝕌𝕀 𝕊𝕌𝕀𝕋 𝕃'𝔼ℕ𝕋𝔼ℝℝ𝔼𝕄𝔼ℕ𝕋
64705	𝔼𝕋 𝕃'𝔸ℕ 𝔻𝔼ℝℕ𝕀𝔼ℝ, 𝕍'𝕃𝔸 𝕃𝔼 𝕋𝕆𝕌ℝ 𝔻𝕌 𝕄𝔸ℝ𝕀
31751	ℂ'𝔼𝕊𝕋 𝔻𝕆ℕℂ 𝔼ℕ ℙ𝕃𝔼𝕀ℕ𝔼 𝕃𝕀𝔹𝔼ℝ𝕋É
51541	𝕍𝕆𝕋ℝ𝔼 𝔽ℝ𝔼ℝ𝔼 𝔼ℕ 𝕁É𝕊𝕌𝕊⌁ℂℍℝ𝕀𝕊𝕋, 𝕃𝔼 ℂ𝕆ℝ𝔹𝔼𝔸𝕌
56054	𝕀𝕃 𝔽𝔸𝕌𝔻ℝ𝔸𝕀𝕋 ℂℝ𝕆𝕀ℝ𝔼 ℚ𝕌𝔼 ℂ𝔼 ℕ'𝔼𝕊𝕋 ℙ𝔸𝕊 𝕌ℕ ℙÉℂℍÉ 𝔹𝕀𝔼ℕ 𝔾ℝ𝔸𝕍𝔼
5680	𝔸𝕌𝕏 ℙ𝔸ℝ𝕆𝕀𝕊𝕊𝕀𝔼ℕ𝕊 𝔻𝔼 ℕ𝕆𝕋ℝ𝔼⌁𝔻𝔸𝕄𝔼
49658	𝕃𝔸 𝔹𝕌𝕋𝕋𝔼 𝕄𝕆ℕ𝕋𝕄𝔸ℝ𝕋ℝ𝔼 𝕋𝔼 ℂ𝔸ℂℍ𝔼 𝕃𝔼 ℂ𝕆𝕃𝕃𝔼𝔾𝔼 𝔻𝔼 𝔽ℝ𝔸ℕℂ𝔼
65443	ℙ𝔼𝕋𝕀𝕋 𝔻É𝔹𝔸𝕌ℂℍÉ
24603	𝔹𝔼ℂ𝔸𝕌𝕊𝔼 𝕃𝔸 ℂ𝕆ℂ𝕆
41313	𝔼𝕋 𝔹𝕀𝔼ℕ𝕋𝕆𝕋 𝔻𝔼 𝕃𝔸 ℙ𝔼𝕋𝕀𝕋𝔼 ℝ𝕆𝕃𝔸ℕ𝔻𝔼
12249	𝕋𝕆𝕌𝕁𝕆𝕌ℝ𝕊 𝔸 ℂ𝕆𝕌ℝ𝕀ℝ 𝕃𝔸 ℝ𝔸𝕋𝕀ℂℍ𝔼
9166	𝔸𝕌𝕁𝕆𝕌ℝ𝔻'ℍ𝕌𝕀 𝕀𝕃 𝔸 𝔼ℕℂ𝕆ℝ𝔼 𝕌ℕ𝔼 𝕄𝔸𝕀𝕋ℝ𝔼𝕊𝕊𝔼
53186	𝕃𝔼 ℂ𝕆ℝ𝔹𝔼𝔸𝕌
47199	𝕌ℕ 𝕊𝕀ℕ𝔾𝔼 ℍ𝔸𝔹𝕀𝕃𝕃É ℕ'𝔼𝕊𝕋 ℙ𝔸𝕊 𝕌ℕ ℍ𝕆𝕄𝕄𝔼
33653	𝔽𝕆ℕ𝕋 𝔻𝔼𝕌𝕏
60375	𝕋𝕌 𝕄𝔼 𝔻É𝔾𝕆𝕌𝕋𝔼𝕊
8551	𝕄𝔼𝕊 ℂℍ𝔼ℝ𝕊 𝔽ℝ𝔼ℝ𝔼𝕊
23048	𝔸𝕄𝔼ℕ𝔼 𝕋𝔸 𝕍𝕀𝔸ℕ𝔻𝔼
62101	𝕃𝔼 ℂ𝕆ℝ𝔹𝔼𝔸𝕌
